"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"CP_Axial_L18.0mm_D8.0mm_P25.00mm_Horizontal";2;"20uF";;;
2;"C2";"CP_Axial_L21.0mm_D8.0mm_P28.00mm_Horizontal";1;"50uF";;;
3;"P1";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Signal_In";;;
4;"P2";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Signal_Out";;;
5;"Q1";"TO-92_Molded_Narrow";1;"BC548";;;
6;"R1";"R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal";1;"22k";;;
7;"R4";"R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal";1;"1.8k";;;
8;"R2";"R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal";1;"6.8k";;;
9;"R3";"R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal";1;"4.7k";;;
10;"J1";"Banana_Jack_2Pin";1;"Conn_01x02";;;
